Timestamp,Current Phase,Distance Change,Total Distance Traveled,Position X,Position Y,Position Z,Quaternion X,Quaternion Y,Quaternion Z,Quaternion W,Total Steps Idle,Phase Distance Traveled,Phase Steps Idle,Distance from Target,Air Level, Mobility,Key Frame,Targets
896.56,1,0,0,40.65899,-4.982758,-23.84136,-0.1, 0.1, 0.0, -1.0,0,0,0,0,99.96,1,1,0100000000
897.0545,1,0.0002563593,0.0002563593,40.65875,-4.982681,-23.84143,-0.1, 0.1, 0.0, -1.0,0,0.0002563593,0,0,99.91994,1,0,0100000000
897.5481,1,0.0002662242,0.0005225835,40.65901,-4.98272,-23.84138,-0.1, 0.1, 0.0, -1.0,0,0.0005225835,0,0,99.87989,1,0,0100000000
898.0546,1,0.001123132,0.001645716,40.65803,-4.982503,-23.84188,-0.1, 0.1, 0.0, -1.0,0,0.001645716,0,0,99.83967,1,0,0100000000
898.56,1,0.0007616533,0.002407369,40.65851,-4.982765,-23.84135,-0.1, 0.1, 0.0, -1.0,0,0.002407369,0,0,99.79951,1,0,0100000000
899.0412,1,0.006596287,0.009003656,40.66452,-4.985039,-23.83984,-0.1, 0.0, 0.0, -1.0,0,0.009003656,0,0,99.75819,1,0,0100000000
899.56,1,0.004294165,0.01329782,40.66025,-4.984606,-23.83966,-0.1, 0.1, 0.0, -1.0,0,0.01329782,0,0,99.71733,1,0,0100000000
900.0413,1,0.002177592,0.01547541,40.65816,-4.984071,-23.83995,-0.1, 0.1, 0.0, -1.0,0,0.01547541,0,0,99.6769,1,0,0100000000
900.5479,1,1.291554,1.307029,40.65827,-4.979471,-22.54841,-0.1, 0.1, 0.0, -1.0,0,1.307029,0,0,99.37859,1,0,0100000000
901.0546,1,1.030044,2.337073,41.55895,-4.97977,-22.04865,-0.1, 0.1, 0.0, -1.0,0,2.337073,0,0,99.13258,1,0,0100000000
901.56,1,1.720169,4.057242,42.55773,-4.979658,-20.64814,-0.1, 0.1, 0.0, -1.0,0,4.057242,0,0,98.74854,1,0,0100000000
902.0413,1,0.9175064,4.974748,42.9437,-4.979878,-19.81577,-0.1, 0.7, 0.0, -0.7,0,4.974748,0,0,98.52504,1,0,0100000000
902.56,1,0.08110388,5.055852,42.96036,-4.98029,-19.73639,-0.1, 0.8, -0.1, -0.6,0,5.055852,0,0,98.46882,1,0,0100000000
903.0412,1,0.4378661,5.493718,42.65931,-4.980136,-20.05435,-0.1, 0.2, 0.0, -1.0,0,5.493718,0,0,98.34125,1,0,0100000000
903.56,1,0.8084146,6.302133,42.46014,-4.980318,-19.27085,-0.1, 0.2, 0.0, -1.0,0,6.302133,0,0,98.13956,1,0,0100000000
904.0413,1,1.400008,7.70214,42.20296,-4.98051,-17.89467,-0.1, 0.2, 0.0, -1.0,0,7.70214,0,0,97.81956,1,0,0100000000
904.5482,1,1.037419,8.739559,41.6848,-4.980629,-16.99593,-0.1, 0.4, 0.0, -0.9,0,8.739559,0,0,97.57208,1,0,0100000000
905.0544,1,1.568718,10.30828,40.63626,-4.980551,-15.82911,-0.1, 0.4, 0.0, -0.9,0,10.30828,0,0,97.21834,1,0,0100000000
905.5479,1,2.335819,12.6441,38.49494,-4.980857,-14.89596,-0.1, 0.3, 0.0, -1.0,0,12.6441,0,0,96.71117,1,0,0100000000
