Timestamp,Current Phase,Distance Change,Total Distance Traveled,Position X,Position Y,Position Z,Quaternion X,Quaternion Y,Quaternion Z,Quaternion W,Total Steps Idle,Phase Distance Traveled,Phase Steps Idle,Distance from Target,Air Level, Mobility,Key Frame,Targets
0.12,0,0,0,-29.02028,-13.7335,12.09714,0.2, 0.0, 0.0, -1.0,0,0,0,0,99.95,1,1
0.6147595,0,0.02251682,0.02251682,-28.99829,-13.73826,12.09629,0.3, 0.1, 0.0, -1.0,0,0.02251682,0,0,99.89324,1,0
1.12,0,0.2476332,0.27015,-29.24264,-13.73655,12.13645,0.2, -0.2, -0.1, -0.9,0,0.27015,0,0,99.76895,1,0
1.60888,0,0.01688059,0.2870306,-29.23151,-13.74301,12.14737,0.2, -0.3, -0.1, -0.9,0,0.2870306,0,0,99.71388,1,0
2.107719,0,0.7944996,1.08153,-29.64945,-13.75046,11.47173,0.1, -0.2, -0.1, -1.0,0,1.08153,0,0,99.42553,1,0
2.600768,0,0.314836,1.396366,-29.80895,-13.77045,11.20102,0.0, -0.3, 0.0, -1.0,0,1.396366,0,0,99.28107,1,0
3.12,0,0.004010813,1.400377,-29.80732,-13.76842,11.19796,0.0, -0.3, 0.0, -1.0,0,1.400377,0,0,99.22987,1,0
3.614754,0,0.7999201,2.200297,-30.22757,-13.76996,10.51733,0.0, -0.3, 0.0, -1.0,0,2.200297,0,0,98.93989,1,0
4.107725,0,1.999385,4.199682,-31.27806,-13.77107,8.816152,0.0, -0.3, 0.0, -1.0,0,4.199682,0,0,98.29007,1,2
4.600809,1,0.005504017,4.205186,-31.28251,-13.77178,8.819308,0.0, -0.3, 0.0, -1.0,0,0.005504017,0,0,98.23842,1,1,1
5.12,1,0.8742651,5.079452,-31.35629,-13.77219,9.690454,0.0, -0.8, 0.0, -0.5,0,0.8797691,0,0,97.92613,1,0,1
5.62,1,2.35866,7.438111,-30.31501,-13.77252,11.80682,0.0, -0.9, 0.0, -0.5,0,3.238429,0,0,97.16853,1,0,1
